ISSN,EISSN,中科院分区
0137-1592,1734-1515,4
1805-4951,,4
0001-5903,1432-0525,4
1840-2976,1840-3700,4
1520-7412,,4
2559-8201,2560-1016,3
0717-6848,,4
1339-5629,,4
1359-6454,1873-2453,1
0236-5294,1588-2632,4
0252-9602,1572-9087,3
1439-8516,1439-7617,4
0231-6986,0862-9544,4
0251-4184,2315-4144,4
0001-5962,1871-2509,1
0168-9673,1618-3932,4
1898-4088,2300-5319,4
0567-7718,1614-3116,2
0894-9166,1860-2134,4
0001-5970,1619-6937,3
0125-9326,2338-2732,4
0386-300X,,4
0870-399X,1646-0758,4
1334-4366,1334-6253,4
1006-7191,2194-1289,2
0412-1961,,2
1335-1532,1338-1156,4
1217-8950,1588-2640,4
2453-7160,,3
1335-1788,,4
0001-6241,,1
2075-8251,,4
0567-784X,2350-417X,3
0065-1400,1689-0035,4
0001-6268,0942-0940,3
0300-9009,2240-2993,4
0001-6314,1600-0404,3
2051-5960,,1
0001-6322,1432-0533,1
0924-2708,1601-5215,4
1730-7503,2084-4298,4
0962-4929,1474-0508,1
0001-6349,1600-0412,2
0253-505X,1869-1099,2
0001-6357,1502-3850,4
1146-609X,1873-6238,4
0001-6373,1588-2659,4
1509-409X,,4
0284-186X,1651-226X,3
1755-375X,1755-3768,3
0253-2239,,2
1588-2667,0001-6446,3
0001-6454,1734-8471,4
0001-6462,,4
1017-995X,2589-1294,4
1745-3674,1745-3682,2
1413-7852,1809-4406,4
2377-2484,,4
0001-6489,1651-2251,4
0392-100X,1827-675X,3
0001-6519,1988-3013,4
0803-5253,1651-2227,4
0567-7920,1732-2421,3
1230-2821,1896-1851,3
0103-2100,1982-0194,4
0186-2391,2395-8235,4
1000-0569,2095-8927,2
2211-3835,2211-3843,1
1330-0075,1846-9558,4
1671-4083,1745-7254,2
1121-2179,1825-6562,4
1593-232X,1827-1766,4
1004-4213,,3
0587-4246,1898-794X,4
0587-4254,1509-5770,4
1000-3290,,3
1000-6818,,2
0137-5881,1861-1664,4
1748-1708,1748-1716,1
1346-7565,2189-7042,4
0185-3082,2448-735X,3
0001-6810,1741-1416,3
0001-6829,,4
0001-6837,2353-5288,4
1000-3304,,2
1785-8860,,4
1805-2363,,4
0065-1583,1689-0027,4
0001-6896,,4
0001-690X,1600-0447,2
0439-755X,,2
0001-6918,1873-6297,3
2058-4601,,4
0284-1851,1600-0455,4
1678-0345,1679-9216,4
0001-6969,2064-8316,4
1644-0765,,4
1644-0692,2545-1405,4
1644-0730,1898-9594,4
1679-9275,1807-8621,4
1679-9291,1807-8648,4
1806-2563,1807-8664,4
2335-3112,2335-3953,4
0001-6977,2083-9480,4
0001-6993,1502-3869,3
0001-7019,1846-0410,4
1023-0564,2415-0487,4
1221-5872,2393-2988,4
1335-2555,1338-5267,4
1015-8758,2309-9089,4
0001-706X,1873-6254,3
