ISSN,EISSN,中科院分区
0733-8635,1558-0520,3
1076-0512,1524-4725,3
1396-0296,1529-8019,3
1027-8117,2223-330X,4
1438-776X,1616-7090,4
2731-7005,2731-7013,4
2193-8210,2190-9172,3
2160-9381,,4
2036-7392,2036-7406,4
1687-6105,1687-6113,4
1018-8665,1421-9832,3
2296-3529,,4
1754-8500,1754-8519,3
0124-4035,2145-5112,4
1944-3994,1944-3986,4
0011-9164,1873-4464,2
1657-3986,2256-5477,4
1518-952X,2176-9109,4
0974-0643,0976-4658,4
1754-7075,1754-7083,3
0929-5585,1572-8080,4
0747-9360,1531-4790,4
1460-6925,1756-3062,4
2053-4701,,3
0142-694X,1872-6909,1
1385-772X,1568-5551,4
1578-4223,2462-7259,4
0925-1022,1573-7586,3
2611-4127,2611-4135,4
1821-2506,,4
0011-9741,2198-2430,4
1435-1951,1522-2403,2
0012-0472,1439-4413,4
0340-9341,1866-5233,4
0012-0936,2365-9521,2
0415-6412,1439-4359,4
0012-1045,2192-1482,4
1866-0452,,2
0012-1533,1746-1049,4
1471-8731,1471-8847,4
0012-155X,1467-7660,2
0954-5794,1469-2198,2
0949-944X,1432-041X,4
0012-1592,1440-169X,4
0961-4524,1364-9213,4
0950-6764,1467-7679,3
0376-835X,1470-3637,4
0950-1991,1477-9129,2
0145-305X,1879-0089,3
0012-1606,1095-564X,3
1534-5807,1878-1551,1
1878-9293,1878-9307,2
1058-8388,1097-0177,4
0012-1622,1469-8749,2
1932-8451,1932-846X,4
8756-5641,1532-6942,4
1751-8423,1751-8431,4
0378-5866,1421-9859,4
0012-1630,1098-2302,4
0012-1649,1939-0599,2
0273-2297,1090-2406,1
1363-755X,1467-7687,1
2666-1659,,2
1772-9971,,4
0378-7931,0378-5807,4
0163-9625,1521-0456,3
2220-9506,2414-0473,4
1871-4021,1878-0334,3
2233-6079,2233-6087,2
1262-3636,1878-1780,2
1479-1641,1752-8984,4
0149-5992,1935-5548,1
2666-9706,,4
2072-0351,2072-0378,4
1178-7007,,3
1462-8902,1463-1326,2
0168-8227,1872-8227,3
1861-7603,,4
1520-9156,1557-8593,2
1869-6953,1869-6961,3
1520-7552,1520-7560,3
0012-1797,1939-327X,2
0742-3071,1464-5491,3
0012-186X,1432-0428,1
1861-9002,1861-9010,4
2731-7447,2731-7455,4
1758-5996,,3
2190-1678,2190-1686,4
2673-4540,,4
0176-4225,1569-9714,2
0300-7162,1080-6539,4
2194-8011,2194-802X,4
2211-5684,,2
1305-3612,,4
8755-1039,1097-0339,4
0732-8893,1879-0070,4
1746-1596,,3
0012-1924,2190-622X,4
2075-4418,,3
0304-4092,1573-0786,4
0942-4040,1867-0903,4
2013-2247,,4
2073-7564,,4
0012-2033,1540-6385,4
1677-1303,1983-9294,4
2325-3290,,4
1690-8961,,4
2316-1795,,4
1519-3640,2238-9024,4
0012-2173,1759-0949,4
1294-8322,1958-5969,2
2043-8206,2043-8214,1
2035-0031,,4
1733-5566,,4
0925-9635,1879-0062,3
0973-9572,0976-3457,4
1637-5823,,4
0269-249X,2159-8347,3
0212-2952,1988-2556,4
0742-5473,,3
0084-9812,2167-8510,4
0012-2440,,4
0214-4379,2255-3835,4
1130-0531,1988-2548,4
1040-7391,1527-1986,4
0893-4983,,3
1847-120X,1848-9605,4
0971-3514,0974-6870,4
0012-2661,1608-3083,4
0926-2245,1872-6984,4
0301-4681,1432-0436,3
1842-3582,,4
1060-4367,1949-3606,4
0012-2823,1421-9867,4
1590-8658,1878-3562,2
0163-2116,1573-2568,4
0257-2753,1421-9875,4
0915-5635,1443-1661,2
0253-4886,1421-9883,4
2772-5081,,4
2468-5925,2352-8648,2
1462-6268,1744-3806,3
2635-098X,,2
2013-9144,,4
2055-2076,,3
1938-4122,,4
2167-0811,2167-082X,1
2059-5816,2054-1694,4
2398-5038,2398-5046,4
2055-7671,2055-768X,3
1051-2004,1095-4333,3
2182-844X,,4
1575-2275,,4
1692-8563,2322-956X,4
0730-4625,1538-8646,4
1303-9199,,4
0959-2296,1557-301X,4
0145-2096,1467-7709,3
2589-1766,2589-1774,4
2286-5977,,4
1132-175X,2171-6323,4
2179-8966,,4
1971-7105,1972-5485,4
0968-7599,1360-0508,3
1936-6574,1876-7583,2
1748-3107,1748-3115,4
0963-8288,1464-5165,4
1935-7893,1938-744X,4
0965-3562,1758-6100,4
0361-3666,1467-7717,3
1963-1723,,3
1750-4813,1750-4821,2
0957-9265,1460-3624,1
2211-6958,2211-6966,1
0163-853X,1532-6950,2
1461-4456,1461-7080,2
1522-5321,1536-1810,4
0159-6306,1469-3739,3
2731-9229,,3
2730-6011,,4
2662-9984,,4
1539-6509,1944-7930,4
0179-5376,1432-0444,4
2397-3129,,4
1531-3492,1553-524X,4
1937-1632,1937-1179,4
1078-0947,1553-5231,3
0166-218X,1872-6771,3
1026-0226,1607-887X,4
0924-6703,1573-7594,4
1793-8309,1793-8317,4
0924-9265,1569-3929,4
1462-7264,1365-8050,4
2664-2557,,4
0012-365X,1872-681X,3
1572-5286,1873-636X,4
1234-3099,2083-5892,4
1754-8403,1754-8411,3
0177-5103,1616-1580,4
0012-3706,1530-0358,2
1120-8694,1442-2050,4
2079-9721,,4
1123-9247,,4
1828-5961,,4
0251-3625,2166-8604,4
2659-6881,,4
0141-9382,1872-7387,2
0873-626X,2182-2875,3
2254-0601,,4
0012-3846,1946-0910,4
0012-3862,1730-6310,3
1521-298X,2376-869X,4
0158-7919,1475-0198,2
1600-910X,2159-9149,3
0926-8782,1573-7578,4
0178-2770,1432-0452,4
1794-9998,2256-3067,4
1366-9516,1472-4642,1
1424-2818,,3
1833-3516,,4
1478-7318,,3
0012-4273,1969-6965,4
0124-7255,2357-5891,4
1688-3497,0797-3691,4
0011-5029,1557-8194,3
1044-5498,1557-7430,4
1568-7864,1568-7856,3
1340-2838,1756-1663,2
2358-0003,1982-0313,4
2035-7362,,4
1697-4328,1697-3798,3
1431-0643,,2
0012-4486,1573-2622,4
0210-4210,1988-2890,4
0315-2340,,4
1122-5750,,4
2035-8792,2281-7549,4
0212-1573,2014-4512,4
1607-6729,1608-3091,4
0012-5008,1608-3113,4
1028-334X,1531-8354,4
1064-5624,1531-8362,4
1561-8323,2524-2431,4
0012-5016,1608-3121,4
1028-3358,1562-6903,4
2035-6803,,4
0739-7240,1879-0054,2
1559-3258,,4
0012-5768,,4
0012-5806,2397-3498,4
1696-019X,2386-3978,4
0214-8676,2386-4702,4
2054-7668,2054-7676,3
1053-0797,1573-3351,4
0361-2112,2042-1729,3
2071-9574,,3
1644-3985,,4
0247-9788,,4
2564-4939,,4
2504-446X,,3
2772-7246,,4
0376-8716,1879-0046,2
0959-5236,1465-3362,3
0148-0545,1525-6014,4
2190-393X,2190-3948,3
1071-7544,1521-0464,2
1177-8881,,2
0363-9045,1520-5762,4
0272-4391,1098-2299,3
1881-7831,1881-784X,4
1359-6446,1878-5832,2
1179-1365,,3
0090-9556,1521-009X,2
1347-4367,1880-0920,4
0360-2532,1097-9883,3
2194-9379,2194-9387,4
1368-7646,1532-2084,1
0114-5916,1179-1942,2
1177-3928,,4
1942-7603,1942-7611,3
1170-229X,1179-1969,3
1172-0360,1179-1977,4
2752-6739,2752-6747,4
1174-5886,1179-6901,4
0968-7637,1465-3370,4
2199-1154,2198-9788,4
0012-6667,1179-1950,1
1330-0288,1848-6096,4
0012-6772,1847-1153,4
0737-3937,1532-2300,3
1742-058X,1742-0598,3
1794-5992,2389-783X,4
2571-726X,,4
0012-7086,1939-9111,2
0012-7094,1547-7398,1
1018-8681,1309-5749,4
0309-6564,1759-7854,2
2211-7245,2211-7253,4
0143-7208,1873-3743,2
0012-7361,1989-1490,4
2153-0785,2153-0793,4
1468-9367,1468-9375,4
0377-0265,1872-6879,4
1548-159X,,3
0211-9536,,4
1076-9242,1099-0909,3
0179-051X,1432-0460,3
1212-3609,2336-5064,4
0424-7116,2199-9090,3
1885-7019,,4
1659-4142,,4
1897-7979,2084-4840,4
2280-4056,,4
1348-0391,,4
1666-9606,,4
2042-7530,,3
1699-5317,,4
1731-6758,1731-7428,4
2197-4586,1618-7229,3
1988-7213,,4
2177-6288,,4
1951-6169,,4
2032-9407,,4
0196-0202,1538-4667,2
1695-8403,2254-7592,4
0012-8163,1534-147X,3
1543-4273,1559-0895,4
0300-4430,1476-8275,4
1082-3301,1573-1707,3
0885-2006,1873-7706,1
0362-5028,2325-2324,4
1868-7032,1868-8020,3
1040-9289,1556-6935,3
0378-3782,1872-6232,3
1751-7885,1751-7893,3
1529-9104,1946-7842,3
0963-9462,1468-0254,1
2056-3035,2056-3043,3
1933-0065,2378-4776,4
0261-1279,1474-0559,2
0306-1078,1741-7260,1
1746-0654,1746-0662,3
1383-7427,1573-3823,2
1206-9078,,3
0957-5146,1472-4421,4
1755-6910,1755-6929,4
2096-3955,,3
0012-821X,1385-013X,1
2333-5084,,3
1087-3562,,4
0167-9295,1573-0794,4
1880-5981,,3
1865-0473,1865-0481,3
0736-623X,1944-6187,4
1794-6190,2339-3459,4
2196-6311,2196-632X,3
0197-9337,1096-9837,3
2190-4979,2190-4987,2
2589-8116,,1
1866-3508,1866-3516,1
2509-9426,2509-9434,3
0012-8252,1872-6828,1
2673-4834,,4
0098-8847,1096-9845,2
1671-3664,1993-503X,2
1674-4519,1867-8777,3
8755-2930,1944-8201,3
2092-7614,2092-7622,4
2328-4277,,1
1096-6838,1874-6284,3
2508-1640,2508-1667,4
2079-7362,2079-7370,4
1793-9305,2251-3175,4
2055-7752,2055-7760,4
2210-6278,2210-6286,3
1875-2160,1875-2152,4
0094-3037,1876-3308,4
1350-1674,1743-971X,4
2312-4334,2312-4539,4
0888-3254,1533-8371,4
2159-9165,2159-9173,2
2327-7408,2327-7416,3
0012-8708,,4
0094-5056,1939-4632,4
1232-8855,2300-8717,4
0012-8775,1557-9298,4
2068-651X,2068-6633,4
1020-3397,1687-1634,4
1124-4909,1590-1262,3
1471-0153,1873-7358,4
1064-0266,1532-530X,3
2352-3964,,1
0928-2750,1875-8363,4
1754-6605,,4
0956-618X,1751-8539,4
1744-1366,1745-5316,2
1517-1949,1983-9278,4
2055-0464,,3
0742-2822,1540-8175,4
2589-5370,,1
2096-5311,2632-1742,4
2073-106X,2073-1558,4
0906-7590,1600-0587,1
1612-9202,1612-9210,3
1642-3593,2080-3397,4
1936-0584,1936-0592,3
1726-2216,1993-9507,4
1051-0761,1939-5582,2
1898-6196,2084-4549,4
1476-945X,1476-9840,3
0921-8009,1873-6106,2
0925-8574,1872-6992,2
0307-6946,1365-2311,2
2950-5097,,3
1470-160X,1872-7034,1
1574-9541,1878-0512,2
1442-7001,1442-8903,4
0304-3800,1872-7026,3
0012-9615,1557-7015,2
2192-1709,,2
1040-7413,1532-6969,3
1644-7298,2083-5469,4
0912-3814,1440-1703,4
1543-4060,1543-4079,4
2688-8319,,3
2673-4133,,4
2045-7758,,2
1708-3087,,3
0046-1121,,4
1461-023X,1461-0248,1
0367-0244,1543-5237,4
0906-6691,1600-0633,3
0012-9658,1939-9170,2
2567-3173,,2
1933-527X,,4
0747-4938,1532-4168,4
0266-4666,1469-4360,4
0012-9682,1468-0262,1
2468-0389,2452-3062,4
1368-4221,1368-423X,3
2225-1146,,4
1578-0732,2174-7350,4
1120-2890,1973-820X,3
1405-8421,2448-6183,4
1533-6239,,4
0265-0665,1468-0270,4
0313-5926,,2
1225-7281,2288-7962,4
0143-831X,1461-7099,4
1035-3046,1838-2673,3
2095-4816,2470-4024,3
2307-0331,2312-9824,4
0012-9984,,4
1728-6220,1728-6239,4
2330-4847,,3
0013-0001,1874-9364,3
1573-9414,1574-0277,4
0424-267X,1842-3264,4
0013-0079,1539-2988,3
0891-2424,1552-3543,4
0013-0095,1944-8287,1
0361-0128,1554-0774,1
2078-0389,2078-0397,3
0013-0117,1468-0289,1
0095-2583,1465-7295,3
1363-7029,,4
2086-3128,2502-180X,4
0013-0133,1468-0297,2
0264-9993,1873-6122,2
0391-5026,1468-0300,4
0812-0439,1759-3441,4
0266-4658,1468-0327,2
0013-0249,1475-4932,4
0953-5314,1469-5758,4
0939-3625,1878-5433,3
2196-1085,2196-1093,4
0938-2259,1432-0479,3
0013-0427,1468-0335,3
1570-677X,1873-6130,3
0954-1985,1468-0343,3
2071-789X,2306-3459,3
2254-4380,,4
2392-1641,2450-0097,4
2312-6310,2312-430X,4
0266-2671,1474-0028,2
1545-2921,,4
2616-7107,2786-8958,4
0165-1765,1873-7374,4
0272-7757,1873-7382,3
2160-5882,2160-5890,4
1435-6104,1435-8131,4
1043-8599,1476-8364,3
1749-852X,,3
2577-6975,2577-6983,4
2212-0122,2212-0130,3
1864-6042,,4
2227-7099,,3
0013-063X,1572-9982,4
2194-6167,1553-3832,4
0308-5147,1469-5766,2
2072-6414,2411-1406,4
1942-9347,,3
2237-941X,,4
1195-6860,2376-7626,4
2007-901X,,4
1697-2473,,4
2150-8925,,3
2096-4129,2332-8878,2
2212-0416,,2
2639-5916,,2
1432-9840,1435-0629,3
0147-6513,1090-2414,2
0963-9292,1573-3017,4
2162-8769,2162-8777,4
1942-4558,2578-2185,4
0013-0796,1758-6623,4
1138-9621,2530-6448,4
2150-0428,2166-2932,3
1364-9809,1755-1692,4
2330-3964,2330-3980,4
2254-8351,,4
2254-0059,,4
2448-3583,,4
2179-8435,,4
0101-9031,1984-6444,4
1514-0105,2314-2561,4
0120-677X,2145-5880,4
1139-613X,2174-5374,2
0104-4060,1984-0411,4
0211-819X,2014-8801,4
1699-2105,1989-466X,4
0300-4279,1475-7575,4
1360-2357,1573-7608,2
2154-1647,,4
0040-0912,1758-6127,3
0748-8491,1934-8924,4
0013-1245,1552-3535,4
1682-3206,1947-9417,4
1746-1979,1746-1987,4
0849-1089,1916-8659,4
1557-3060,1557-3079,3
1749-7728,,3
1357-6283,1469-5804,4
0167-8329,1875-8649,4
1473-9879,1475-990X,4
2444-8729,,4
2000-4508,,3
1068-2341,,4
2227-7102,,3
0965-0792,1747-5074,4
0013-161X,1552-3519,2
2059-0776,2059-0784,4
0013-1644,1552-3888,4
1874-8597,1874-8600,2
1062-7197,1532-6977,3
0162-3737,1935-1062,2
0013-1725,1938-8098,4
0360-1277,1521-0472,4
0013-1784,1943-5878,4
1741-1432,1741-1440,3
0731-1745,1745-3992,4
0952-3987,1469-5790,4
0013-1857,1469-5812,4
0895-9048,1552-3896,3
0046-1520,1532-6985,1
0266-7363,1469-5839,4
1040-726X,1573-336X,1
0144-3410,1469-5820,2
1380-3611,1744-4187,3
1570-2081,1573-1723,4
2221-4070,,4
1747-938X,1878-0385,1
0013-1881,1469-5847,3
0013-189X,1935-102X,1
0013-1911,1465-3397,2
0013-1954,1573-0816,2
0013-1946,1532-6993,3
0305-5698,1465-3400,4
1176-3647,1436-4522,2
0013-2004,1741-5446,4
1856-7576,,4
1736-8987,2228-1339,3
2666-3066,,3
2396-7544,2058-5241,2
1831-4732,,4
1133-6137,2254-6103,4
1303-099X,,4
1888-8143,2605-082X,4
1300-1337,,4
1110-2608,2090-911X,4
1110-8665,2090-4754,2
0379-3575,2357-0288,4
1110-1849,,4
1687-4285,2090-3278,3
2090-4932,2090-4940,4
1110-1768,2536-9342,3
0375-9237,2357-0350,4
1687-8426,2314-8551,4
0449-2285,2357-0245,4
0422-7638,2090-9950,4
2090-7303,2090-9209,4
1110-6530,2314-7407,4
2090-536X,2090-5939,4
1110-1067,2090-9268,4
1110-7782,2090-9098,4
1110-8630,2090-2441,4
1687-8329,,4
2520-8225,,4
1012-5574,2090-8539,4
1687-1642,2314-8934,4
2090-4762,,4
1110-9823,2090-2476,3
0302-6701,2357-0369,4
1110-1121,1687-7624,4
1110-0222,2357-089X,4
2090-6218,2090-6226,4
1110-6638,2090-9942,4
1687-4315,2090-9853,4
1110-1164,2090-2433,4
1110-161X,2090-3235,4
1824-6192,1826-719X,3
0840-6286,1911-0243,2
0098-2601,1086-3192,4
1478-5706,1478-5714,3
0013-2586,1086-315X,3
1885-5679,,4
1121-8819,,4
2254-8718,,2
1679-4508,2317-6385,4
0013-2683,1550-5162,4
0046-1628,,4
0102-4809,2358-9787,4
2197-7364,,2
2365-421X,,3
2191-219X,,3
1448-2398,,4
0748-7983,1532-2157,2
2666-688X,,4
1898-2255,2392-1625,4
0867-8898,2300-6420,4
1994-5124,2411-2658,4
0013-3035,,4
0424-7388,,4
0352-3462,,4
0013-3205,2299-6184,4
1330-1039,1848-963X,4
0424-7558,1848-9494,4
0353-359X,1847-2206,4
2067-631X,2559-2068,3
2072-7593,2311-7036,4
1507-2711,,3
0854-1418,,4
2092-9676,2288-7725,4
1533-1296,1557-8062,3
0261-3794,1873-6890,2
1532-5008,1532-5016,4
0378-7796,1873-2046,3
2619-9831,,4
2255-9140,2255-9159,4
2074-272X,2309-3404,4
0424-7760,1520-6416,4
0948-7921,1432-0487,4
1040-0397,1521-4109,4
1868-2529,1868-5994,4
2520-8489,2520-8136,1
2698-5977,,4
1064-8208,1944-8783,4
1388-2481,1873-1902,3
1344-3542,2186-2451,4
0013-4686,1873-3859,2
1536-8378,1536-8386,4
0272-6343,1532-527X,4
1567-4223,1873-7846,3
1389-5753,1572-9362,4
1083-589X,,4
2070-5948,,4
0717-3458,,4
1077-8926,,3
1072-6691,,4
1479-4403,,4
2516-3507,,4
2338-2287,,4
1681-4835,,4
1537-9582,1081-3810,4
1083-6489,,2
1417-3875,,4
1699-5880,1696-2095,4
1935-7524,,4
1443-9255,,4
0264-0473,1758-616X,4
1019-6781,1422-8890,3
1738-8090,2093-6788,4
1931-2431,1931-244X,4
2688-1594,,4
2516-1075,,3
1068-9613,,4
1942-9533,1942-9541,4
0013-5194,1350-911X,4
2079-9292,,4
0173-0835,1522-2683,3
1392-1215,,4
0932-383X,1613-7620,4
0013-5852,2232-3236,4
2325-1026,,3
0013-5984,1554-8279,4
0013-6018,1420-8962,4
1811-5209,1811-5217,4
2011-4532,2463-1469,4
0013-8304,1080-6547,3
1576-5059,2253-8283,4
2050-084X,,1
2097-1710,2662-8643,1
2386-7620,,4
0951-0893,1477-4526,2
1807-8893,1808-5245,4
0206-3735,2228-1215,4
0261-4189,1460-2075,1
1757-4676,1757-4684,1
1469-221X,1469-3178,1
1137-6821,2386-5857,2
1826-9826,2282-2054,4
1742-6731,1742-6723,4
0733-8627,1558-0539,4
2090-2840,2090-2859,4
1472-0205,1472-0213,3
1070-3004,1438-1435,4
2522-5731,2522-574X,4
2167-6968,2167-6984,3
2405-6650,2405-6642,2
1080-6040,1080-6059,2
1540-496X,1558-0938,3
1566-0141,1873-6173,2
2046-0147,2046-0155,4
2222-1751,,1
1742-7622,,3
2397-8554,2397-8562,3
0013-6662,1988-8384,3
1059-6879,1096-858X,3
1998-4634,2708-0226,4
2079-052X,2079-0538,4
2199-3629,2199-3637,4
2355-391X,2443-1168,4
1754-0739,1754-0747,3
1755-4586,1878-0040,2
1528-3542,1931-1516,2
1363-2752,1741-2692,4
2631-6897,2631-6900,3
2206-7485,2208-522X,3
1757-1952,1757-1960,4
1139-5737,2174-0682,4
0340-8744,1573-6911,3
0377-7332,1435-8921,4
1559-5749,,2
1877-6345,,3
1382-3256,1573-7616,2
0276-2374,1541-4493,3
0142-5455,1758-7069,4
0892-7545,1573-3378,4
2308-2151,2308-216X,3
0158-4197,1448-5540,4
1888-5616,2445-1215,4
0013-7006,2589-4935,4
1518-2924,,4
2560-8371,,4
0719-3432,0718-5766,4
2174-7148,2174-6753,4
1989-0796,,4
1863-5407,1613-4796,3
0160-9327,1873-1929,4
2049-3614,,3
0918-8959,1348-4540,4
1871-5303,2212-3873,4
1046-3976,1559-0097,1
1530-891X,1934-2403,3
0743-5800,1532-4206,4
0163-769X,1945-7189,1
1351-0088,1479-6821,2
1355-008X,1559-0100,3
2530-0180,,4
0889-8529,1558-4410,2
2093-596X,2093-5978,2
2398-9238,,4
2052-0573,,4
2822-6135,,4
0013-7227,1945-7170,3
0423-104X,,4
2303-9027,2226-7190,1
2364-3722,2196-9736,3
0013-726X,1438-8812,1
1133-5351,2174-5676,4
2666-6472,,2
1996-1073,,4
0958-305X,2048-4070,4
2575-0356,,1
1754-5692,1754-5706,1
0887-0624,1520-5029,3
2753-1457,,4
2666-5468,,2
0378-7788,1872-6178,2
2666-2787,,3
2590-1745,,2
0196-8904,1879-2227,1
2363-7692,2363-8338,3
0140-9883,1873-6181,1
1570-646X,1570-6478,4
0144-5987,2048-4054,4
0973-0826,2352-4669,3
2666-7592,,4
0195-6574,1944-9089,4
2097-1133,2692-7640,1
2770-5900,,2
2772-4271,,2
0301-4215,1873-6777,2
2352-4847,,3
2214-6296,2214-6326,2
2050-0505,,4
1556-7036,1556-7230,4
1556-7249,1556-7257,4
2405-8297,2405-8289,1
2578-4862,,4
2211-467X,2211-4688,2
2192-0567,,2
1868-3967,1868-3975,4
2194-4288,2194-4296,4
0360-5442,1873-6785,1
2589-7780,,1
2373-2822,,3
2007-3054,,4
0013-7545,1969-6981,4
0213-005X,1578-1852,4
1130-8621,1579-2013,4
1130-2399,1578-1291,4
1390-9363,1390-6542,4
2413-8053,,4
0100-6916,1809-4430,4
1413-4152,1809-4457,4
1800-1122,,4
2576-9898,2576-989X,1
0955-7997,1873-197X,2
0952-1976,1873-6769,1
1994-2060,1997-003X,1
0264-4401,1758-7077,4
0969-9988,1365-232X,2
0013-791X,1547-2701,4
1350-6307,1873-1961,2
0013-7944,1873-7315,2
0013-7952,1872-6917,1
1618-0240,1618-2863,3
0013-8029,,4
0125-8281,,4
1816-093X,1816-0948,4
1042-9247,2377-0643,4
0305-215X,1029-0273,4
2577-8196,,4
2631-8695,,4
1330-9587,1849-0433,4
2215-0986,,2
0141-0296,1873-7323,1
1937-8629,1940-8374,3
2658-4123,2658-6525,4
0177-0667,1435-5663,2
2095-8099,2096-0026,2
1013-1752,1753-5360,3
0889-4906,1873-1937,1
0013-8266,1477-4534,2
0376-8902,2071-7474,3
0155-2147,,4
0425-0494,1754-8845,4
1360-6743,1469-4379,2
0013-8282,2573-3575,4
0013-8312,1475-6757,2
2367-5705,2367-8704,4
0013-8398,1943-8117,3
0013-838X,1744-4217,3
1023-7267,2522-8560,3
1175-8708,,4
1874-8767,1874-8775,4
0266-0784,1474-0567,2
0172-8865,1569-9730,2
0013-8215,1756-1124,3
0211-402X,2014-881X,4
0214-4824,2171-9098,4
0013-8584,2309-4672,4
0212-4521,2174-6486,4
2149-7109,2149-6498,4
0145-5613,1942-7522,4
1467-2227,1467-2235,3
1751-7575,1751-7583,3
1866-3621,,3
1875-9521,1875-953X,3
2037-2426,,4
0013-8703,1570-7458,3
0171-8177,2363-7102,1
1947-5136,1947-5144,4
0013-872X,2162-3236,4
1738-2297,1748-5967,4
1343-8786,1479-8298,4
1692-0074,2382-3518,4
1909-8367,2539-4169,4
2237-6321,,4
2353-883X,2353-8821,3
0898-5626,1464-5114,2
2345-0282,,4
2194-6175,2157-5665,4
1042-2587,1540-6520,2
1099-4300,,3
0122-6339,2248-6798,4
0013-9165,1552-390X,2
1355-770X,1469-4395,4
0967-3407,1752-7023,3
0308-518X,1472-3409,1
2399-8083,2399-8091,3
2399-6544,2399-6552,2
0263-7758,1472-3433,1
2514-8486,2514-8494,2
2150-6779,2150-6787,2
0975-4253,0976-3546,4
0956-2478,1746-0301,3
1387-585X,1573-2975,3
0160-4120,1873-6750,1
0324-8828,,4
0013-9157,1939-9154,4
1078-7275,1558-9161,4
0924-6460,1573-1502,3
2354-0079,,4
1691-5208,2255-8837,4
1352-8505,1573-3009,4
0098-8472,1873-7307,2
0893-6692,1098-2280,4
0813-300X,,4
2665-9727,,2
1461-4103,1749-6314,3
0378-1909,1573-5133,4
2590-1826,,1
1610-3653,1610-3661,2
1448-2517,1449-8979,4
1752-4032,1752-4040,3
0376-8929,1469-4387,4
2211-4645,2211-4653,2
1866-6280,1866-6299,3
1432-847X,1867-383X,4
1350-4622,1469-5871,3
1582-9596,1843-3707,4
1226-1025,2005-968X,4
1092-8758,1557-9018,4
0046-225X,1938-2936,3
2474-7882,,4
2058-5888,,2
0163-4275,2153-7895,2
2047-2382,,3
1567-7419,1573-1510,3
1527-5922,1527-5930,4
0269-4042,1573-2983,4
2051-803X,,4
1747-7891,1878-0059,4
1342-078X,1347-4715,3
2423-3765,2423-4311,4
1178-6302,,4
0091-6765,1552-9924,1
1476-069X,,2
1084-5453,1930-8892,3
2201-1919,,2
0195-9255,1873-6432,1
2210-4224,2210-4232,2
1939-4071,1937-5174,4
0364-152X,1432-1009,3
1758-2229,,3
1462-2912,1462-2920,2
2524-6372,,2
1420-2026,1573-2967,4
1364-8152,1873-6726,2
0167-6369,1573-2959,4
1756-932X,1756-9338,3
0964-4016,1743-8934,1
2639-5932,2639-5940,4
0269-7491,1873-6424,2
2198-7491,2198-7505,3
1944-7442,1944-7450,4
1088-1913,1520-6483,4
2515-7620,,4
1748-9326,,2
0013-9351,1096-0953,2
2634-4505,,4
1208-6053,1181-8700,2
1462-9011,1873-6416,2
2328-8930,,2
0013-936X,1520-5851,1
2666-4984,,1
2754-7000,,4
2634-3606,,3
2051-8153,2051-8161,3
2050-7887,2050-7895,3
2053-1400,2053-1419,4
2190-4707,2190-4715,3
2325-1042,,3
2523-8922,,4
2352-1864,,2
0959-3330,1479-487X,4
0730-7268,1552-8618,4
1382-6689,1872-7077,3
1520-4081,1522-7278,3
0963-2719,1752-7015,1
2076-3298,,4
1180-4009,1099-095X,3
1635-0421,1952-3998,4
0141-0229,1879-0909,3
2281-3209,,4
0013-9513,1783-1423,3
1755-4365,1878-0067,3
1120-9763,2385-1937,4
1679-4974,2237-9622,4
0193-936X,1478-6729,2
1210-7913,,4
2092-7193,,4
0950-2688,1469-4409,4
2045-7960,2045-7979,2
1044-3983,1531-5487,2
1756-8935,,2
2516-8657,,4
1559-2294,1559-2308,3
2075-4655,,4
1750-1911,1750-192X,4
2491-6765,,2
2470-9239,,3
0013-9580,1528-1167,1
2589-9864,,4
1525-5050,1525-5069,3
1535-7597,1535-7511,3
0920-1211,1872-6844,4
1294-9361,1950-6945,4
0705-3797,,4
1742-3600,1750-0117,1
1811-833X,2311-7133,4
0013-970X,,4
2272-2394,,4
2193-1127,,2
2491-9292,,4
2105-0716,,4
2662-4400,2196-0763,2
2195-7045,,4
0295-5075,1286-4854,4
1878-5077,1878-5085,2
1310-2141,2534-8418,4
1518-2487,,4
2039-9898,2281-4485,4
2040-7149,2040-7157,4
1692-7311,2389-8844,4
1689-765X,2353-3293,2
0957-7734,2042-3292,4
0425-1644,2042-3306,2
1066-5684,1547-3457,3
1445-5218,,4
2341-2380,,4
0276-2854,1874-9275,3
0926-4981,1564-0094,4
0013-9998,,4
0014-0015,,4
2330-4014,,3
0143-3857,1469-4417,3
1064-8046,2169-5083,4
0014-0139,1366-5847,3
0211-0563,,4
2312-0541,,2
0165-0106,1572-8420,2
1825-6619,1827-8957,4
0174-0008,,4
2405-5050,2405-5069,3
0014-0309,1439-0302,4
2687-7295,2687-7309,2
2578-0611,2578-062X,2
1292-8119,1262-3377,3
2822-7840,2804-7214,3
1292-8100,1262-3318,4
2055-5822,,3
2667-1417,,1
1885-5687,1988-2416,4
1970-0164,,4
0212-1867,1989-3574,4
1306-6730,,4
1306-6218,2636-8536,4
2059-7029,,1
1612-9059,1612-9067,3
2334-9050,,2
1958-5500,,4
0755-7809,2104-3752,4
1315-0006,,4
2340-7263,,4
1130-4715,2340-1478,3
0214-9745,2340-1362,4
1515-9485,,4
0214-3038,1988-2971,3
1339-1119,,4
1988-7701,,4
0014-0716,,4
0014-0767,1931-0234,4
0014-0759,2111-4579,4
0093-8297,1935-021X,4
0071-1365,1744-1358,2
0014-0856,1471-6852,3
1835-7040,,4
2571-0915,,1
